p,q,dim,C2,Z,Z_normalized,Z_dimensionless,C_matter,S_holonomy,covering_radius_mean,covering_radius_std,kissing_number_mean,packing_efficiency_mean,packing_efficiency_std,n_shells,Z_eff,C_per_state,Z_per_state,S_per_state,Z_per_C2,min_pq,max_pq,mixing_index,symmetry_index,rep_type
0,1,3,1.3333333333333333,0.015051303866778,0.0112884779000835,0.0011977447051879,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2,0.015051303866778,66.43942670025082,0.005017101288926,1.0,0.0112884779000835,0,1,0,1,pure
0,2,6,3.333333333333333,0.0197437882750159,0.0059231364825047,0.0015711607496643,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.4281523501117625,0.3073488943430064,3,0.0197437882750159,58.85510130986528,0.0032906313791693166,1.1620226591665965,0.00592313648250477,0,2,0,2,pure
0,3,10,6.0,0.0198765722658307,0.0033127620443051,0.0015817273639151,582.7358272009467,11.5827907812483,2.526112944919406,0.6154797086703871,0.75,0.6123296101126336,0.4035515133508291,4,0.0198765722658307,58.273582720094666,0.00198765722658307,1.15827907812483,0.0033127620443051168,0,3,0,3,pure
0,4,15,9.333333333333334,0.0197234369387408,0.0021132253862936,0.0015695412417809,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639703,0.8666666666666666,0.6894427190971445,0.4057939589020385,5,0.0197234369387408,59.4289917482696,0.0013148957959160533,1.1721439710799486,0.002113225386293657,0,4,0,4,pure
0,5,21,13.333333333333334,0.0160188389664762,0.0012014129224857,0.0012747387020538,1301.1135327647391,20.842328158461413,1.7827079921352549,0.9662101514836322,0.9722222222222222,0.734708048408478,0.393253770543248,6,0.0160188389664762,61.95778727451139,0.0007628018555464858,0.9924918170695911,0.001201412922485715,0,5,0,5,pure
0,6,28,18.0,0.015954012364656,0.0008863340202586,0.0012695799649921,1817.286711169177,28.99301466011813,1.5459266520470134,1.014260678929739,1.061904761904762,0.7682806389995995,0.3800509666980052,7,0.015954012364656,64.9030968274706,0.0005697861558805714,1.0354648092899332,0.0008863340202586666,0,6,0,6,pure
0,7,36,23.33333333333333,0.0151143764242619,0.0006477589896112,0.0012027638598364,2458.931720001579,37.16521961766163,1.3630060400793682,1.0315462790057748,1.1375,0.7941941738227525,0.367260962076016,8,0.0151143764242619,68.30365888893274,0.0004198437895628306,1.032367211601712,0.0006477589896112245,0,7,0,7,pure
0,8,45,29.33333333333333,0.0141458810297642,0.0004822459441965,0.0011256934451384,3234.715125848502,45.75789533543167,1.2179706222445423,1.032495443388748,1.2015873015873015,0.8148148148136358,0.3552467795062438,9,0.0141458810297642,71.88255835218894,0.0003143529117725378,1.0168421185651482,0.0004822459441965069,0,8,0,8,pure
1,0,3,1.3333333333333333,0.015051303866778,0.0112884779000835,0.0011977447051879,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2,0.015051303866778,66.43942670025082,0.005017101288926,1.0,0.0112884779000835,0,1,0,1,pure
1,1,8,3.0,0.958255969892403,0.319418656630801,0.0762555871778472,364.22361514287854,349.0194535864564,3.141592653589793,0.0,1.111111111111111,0.3591167563851109,0.2558898194838994,3,0.958255969892403,45.52795189285982,0.11978199623655038,43.62743169830705,0.319418656630801,1,1,1,0,mixed
1,2,15,5.333333333333333,0.3592316857799466,0.0673559410837399,0.0285867492535565,588.741535963731,211.49461445292616,2.2183730905842123,0.533021063222401,2.25,0.5788843195523021,0.3398465760917643,4,0.3592316857799466,39.2494357309154,0.02394877905199644,14.09964096352841,0.06735594108373999,1,2,2,1,mixed
1,3,24,8.333333333333334,0.3104922707720667,0.037259072492648,0.0247081898426008,893.9955200572068,277.5786990826169,1.7296997860058003,0.7320044457068666,2.4466666666666668,0.7414213562155739,0.3876781816265416,5,0.3104922707720667,37.24981333571695,0.012937177948836113,11.56577912844237,0.037259072492648,1,3,3,2,mixed
1,4,35,12.0,0.1817789108469927,0.0151482425705827,0.0144655061055799,1303.625251390641,236.97157835042796,1.4248810316976634,0.7984171347301322,2.611111111111111,0.787574967732643,0.3662038236659438,6,0.1817789108469927,37.246435754018314,0.0051936831670569335,6.7706165242979415,0.015148242570582724,1,4,4,3,mixed
1,5,48,16.333333333333332,0.1671169429660575,0.0102316495693504,0.0132987437737272,1827.183026808472,305.3532416796997,1.2152038737187645,0.8170866896808788,2.7455782312925168,0.8195345922013297,0.3466843673842062,7,0.1671169429660575,38.066313058509834,0.003481602978459531,6.361525868327077,0.01023164956935046,1,5,5,4,mixed
1,6,63,21.33333333333333,0.1211500685550158,0.0056789094635163,0.0096408161332263,2481.9820020024163,300.6922896949081,1.0614306107785527,0.8154602244516763,2.6625,0.8430531197376233,0.3294427143585001,8,0.1211500685550158,39.39653971432407,0.0019230169611907269,4.772893487220763,0.005678909463516367,1,6,6,5,mixed
1,7,80,27.0,0.0997541651544107,0.0036945987094226,0.0079381842391648,3281.4691018456283,327.3402107346046,0.9434577775494688,0.8046010934453843,2.668871252204586,0.8611111111031533,0.3142696805301679,9,0.0997541651544107,41.018363773070355,0.0012469270644301336,4.091752634182558,0.0036945987094226186,1,7,7,6,mixed
2,0,6,3.333333333333333,0.0197437882750159,0.0059231364825047,0.0015711607496643,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.4281523501117625,0.3073488943430064,3,0.0197437882750159,58.85510130986528,0.0032906313791693166,1.1620226591665965,0.00592313648250477,0,2,0,2,pure
2,1,15,5.333333333333333,0.5135609002567574,0.096292668798142,0.0408678779272933,588.741535963731,302.3546332280798,2.2183730905842123,0.5330210632224008,2.25,0.5788843195523021,0.3398465760917642,4,0.5135609002567574,39.2494357309154,0.03423739335045049,20.156975548538654,0.09629266879814201,1,2,2,1,mixed
2,2,27,8.0,0.5535987838894781,0.0691998479861847,0.0440539914728361,892.587592802737,494.1354058904319,1.6755160819145565,0.7695298980971185,2.368888888888889,0.71221877151344,0.3763420124847685,5,0.5535987838894781,33.058799733434704,0.020503658662573265,18.301311329275254,0.06919984798618477,2,2,4,0,mixed
2,3,42,11.333333333333334,0.3461098023076833,0.0305391002036191,0.0275425429449132,1301.6791148773789,450.52390111824974,1.4662700303603833,0.7804704962769008,1.7592592592592593,0.7378222129357185,0.3552059264844573,6,0.3461098023076833,30.99235987803283,0.008240709578754364,10.726759550434517,0.03053910020361911,2,3,6,1,mixed
