p,q,dim,C2,Z,Z_normalized,Z_dimensionless,C_matter,S_holonomy,covering_radius_mean,covering_radius_std,kissing_number_mean,packing_efficiency_mean,packing_efficiency_std,n_shells,Z_eff,C_per_state,Z_per_state
0,1,3,1.3333333333333333,0.015051303866778,0.0112884779000835,0.0011977447051879,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2,0.015051303866778,66.43942670025082,0.005017101288926
0,2,6,3.333333333333333,0.0197437882750159,0.0059231364825047,0.0015711607496643,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.4281523501117625,0.3073488943430064,3,0.0197437882750159,58.85510130986528,0.0032906313791693166
0,3,10,6.0,0.0198765722658307,0.0033127620443051,0.0015817273639151,582.7358272009467,11.5827907812483,2.526112944919406,0.6154797086703871,0.75,0.6123296101126336,0.4035515133508291,4,0.0198765722658307,58.273582720094666,0.00198765722658307
0,4,15,9.333333333333334,0.0197234369387408,0.0021132253862936,0.0015695412417809,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639703,0.8666666666666666,0.6894427190971445,0.4057939589020385,5,0.0197234369387408,59.4289917482696,0.0013148957959160533
1,0,3,1.3333333333333333,0.015051303866778,0.0112884779000835,0.0011977447051879,199.31828010075245,3.0,3.141592653589793,0.0,0.0,0.3535533905820198,0.3535533905820198,2,0.015051303866778,66.43942670025082,0.005017101288926
1,1,8,3.0,0.958255969892403,0.319418656630801,0.0762555871778472,364.22361514287854,349.0194535864564,3.141592653589793,0.0,1.111111111111111,0.3591167563851109,0.2558898194838994,3,0.958255969892403,45.52795189285982,0.11978199623655038
1,2,15,5.333333333333333,0.3592316857799466,0.0673559410837399,0.0285867492535565,588.741535963731,211.49461445292616,2.2183730905842123,0.533021063222401,2.25,0.5788843195523021,0.3398465760917643,4,0.3592316857799466,39.2494357309154,0.02394877905199644
1,3,24,8.333333333333334,0.3104922707720667,0.037259072492648,0.0247081898426008,893.9955200572068,277.5786990826169,1.7296997860058003,0.7320044457068666,2.4466666666666668,0.7414213562155739,0.3876781816265416,5,0.3104922707720667,37.24981333571695,0.012937177948836113
2,0,6,3.333333333333333,0.0197437882750159,0.0059231364825047,0.0015711607496643,353.1306078591917,6.972135954999579,3.141592653589793,0.0,0.3333333333333333,0.4281523501117625,0.3073488943430064,3,0.0197437882750159,58.85510130986528,0.0032906313791693166
2,1,15,5.333333333333333,0.5135609002567574,0.096292668798142,0.0408678779272933,588.741535963731,302.3546332280798,2.2183730905842123,0.5330210632224008,2.25,0.5788843195523021,0.3398465760917642,4,0.5135609002567574,39.2494357309154,0.03423739335045049
2,2,27,8.0,0.5535987838894781,0.0691998479861847,0.0440539914728361,892.587592802737,494.1354058904319,1.6755160819145565,0.7695298980971185,2.368888888888889,0.71221877151344,0.3763420124847685,5,0.5535987838894781,33.058799733434704,0.020503658662573265
3,0,10,6.0,0.0198765722658307,0.0033127620443051,0.0015817273639151,582.7358272009467,11.5827907812483,2.5261129449194057,0.6154797086703874,0.75,0.6123296101126339,0.4035515133508293,4,0.0198765722658307,58.273582720094666,0.00198765722658307
3,1,24,8.333333333333334,0.3104922707720668,0.037259072492648,0.0247081898426008,893.9955200572068,277.57869908261694,1.7296997860058003,0.7320044457068667,2.4466666666666668,0.7414213562155739,0.3876781816265416,5,0.3104922707720668,37.24981333571695,0.012937177948836117
4,0,15,9.333333333333334,0.0197234369387408,0.0021132253862936,0.0015695412417809,891.434876224044,17.58215956619923,2.0980427554560235,0.8570359199639704,0.8666666666666666,0.6894427190971445,0.4057939589020385,5,0.0197234369387408,59.4289917482696,0.0013148957959160533
